restaurant_name,category,address,rating,latitude,longitude,Star Rating
De Superette,Brunch,"Guldenspoorstraat 29, Gent, Belgium",4.8,51.0454889,3.7299747,★★★★☆
ÖZ AHI,Turkish,Sint bernardsesteenweg 322,4.8,51.1899486,4.3778715,★★★★☆
Trattoria Murano,Italian,"Philipstockstraat 33,8000 Brugge",4.8,51.2096443,3.2266609,★★★★☆
Place 2 Eat,Sandwiches,6 Stationsplein,4.7,50.9483796,3.1296242,★★★★☆
Pizza Hut Strombeek-Bever,Italian,Pizza Hut Strombeek-Bever Sint-Annastraat 1 strombeek-dever 1853,4.6,50.9025108,4.3614917,★★★★☆
La Barchetta,Pizza,Kerkstraat 92,4.6,50.8408117,4.4636603,★★★★☆
Pretzel King,Donuts,3 Sint-Amandsstraat,4.6,50.9480685,3.122127,★★★★☆
Keurslager Michielsen,Steak,Anselmostraat 43,4.6,51.2065906,4.4040435,★★★★☆
Strombolino,Italian,Chaussée de Bruxelles 298,4.6,50.7145089,4.3989591,★★★★☆
Epiphany's kitchen,Healthy,Burgstraat 10,4.6,51.0567144,3.7195119,★★★★☆
